UserId,Gender,MonthOfBirth,IsPupilPremium,YearGroup
10298,Male,2006-10-01,,11
10299,Female,2006-12-01,,12
10300,Male,2006-11-01,,11
10301,Male,2006-12-01,,11
10302,Male,2006-10-01,,11
10303,Female,2007-02-01,,11
10304,Female,2007-02-01,,11
10305,Male,2006-11-01,,11
10306,Male,2006-10-01,,11
10307,Male,2006-11-01,,11
10308,Male,2007-03-01,,11
10309,Female,2006-11-01,,11
10310,Female,2007-08-01,,11
10311,Female,2007-08-01,,11
10312,Female,2007-01-01,,11
10313,Female,2007-06-01,,11
10314,Male,2006-10-01,,11
10315,Female,2007-07-01,,11
10316,Male,2007-08-01,,11
10317,Female,2006-09-01,,11
10318,Male,2007-05-01,,11
10319,Male,2007-08-01,0,11
10320,Female,2007-01-01,,11
10321,Male,2006-09-01,,11
10322,Female,2006-09-01,,11
10323,Female,2007-07-01,,11
10324,Female,2006-09-01,,11
10325,Male,2007-05-01,1,11
10326,Male,2006-11-01,,11
10327,Female,2006-12-01,,11
8902,Male,2007-06-01,,11
10328,Male,2007-05-01,1,11
10329,Female,2014-01-01,,4
10330,Female,2012-12-01,,5
10331,Male,2013-05-01,,5
8213,Female,2012-06-01,,6
10332,Female,2006-02-01,,11
10333,Female,2006-12-01,,
10334,Female,2007-02-01,,11
6047,Female,2007-06-01,,11
6053,Female,2006-11-01,,11
6052,Male,2007-05-01,,11
10335,Male,2006-10-01,,7
10336,Female,2007-02-01,,7
10337,Female,2013-03-01,,5
10338,Male,2012-12-01,,5
10339,Male,2014-07-01,,5
10340,Female,2012-09-01,,5
10341,Male,2012-06-01,1,6
10342,Male,2014-05-01,,4
10343,Male,2014-08-01,,4
10344,Male,2014-02-01,,4
10345,Male,2015-01-01,,3
10346,Female,2013-03-01,,5
10347,Female,2007-06-01,0,8
10348,Female,2004-05-01,,5
10349,Female,2008-07-01,0,9
10350,Female,2006-05-01,0,11
10351,Male,2006-07-01,0,11
10352,Male,2008-06-01,,9
10353,Female,2007-10-01,,10
10354,Male,2007-08-01,1,11
10355,Unspecified,,,6
10356,Unspecified,,,5
6819,Female,2005-03-01,,5
6874,Female,2007-01-01,,6
6834,Female,2008-03-01,,5
7519,Unspecified,,,11
10357,Male,,,7
10358,Female,2008-08-01,0,
10359,Female,2007-09-01,0,9
10360,Male,2008-04-01,,10
10361,Male,2008-01-01,,10
10362,Male,2008-05-01,,5
10363,Male,2008-04-01,,10
10364,Female,2008-05-01,1,10
10365,Male,2007-11-01,,10
10366,Female,2008-07-01,,10
10367,Female,2008-03-01,,10
10368,Male,2008-01-01,,10
10369,Female,2008-04-01,,10
10370,Male,2008-02-01,,10
10371,Male,2007-09-01,,10
10372,Male,2007-12-01,,10
10373,Male,2007-11-01,,10
10374,Male,2007-12-01,,10
10375,Female,2008-04-01,,10
10376,Female,2007-12-01,0,10
10377,Female,2007-12-01,,10
10378,Male,2008-05-01,,10
10379,Male,2008-03-01,,10
10380,Male,2008-05-01,,10
10381,Female,2008-02-01,,10
6642,Male,2008-02-01,,10
10382,Male,2007-11-01,,10
10383,Male,2007-11-01,,10
10384,Female,2008-01-01,0,10
10385,Female,2008-07-01,,10
7055,Female,2008-05-01,,10
10386,Female,2007-11-01,,10
7177,Female,2008-08-01,,10
10387,Male,2008-03-01,,10
10388,Male,2008-01-01,,10
6967,Male,2008-07-01,,10
10389,Female,1987-09-01,,6
10390,Female,2005-05-01,1,
3913,Male,,,10
10391,Male,2005-12-01,0,12
10392,Female,2001-12-01,0,11
2268,Female,2006-03-01,,12
10393,Female,2006-07-01,1,10
8522,Female,2007-07-01,,11
9991,Unspecified,2006-12-01,,11
8590,Male,2006-12-01,,11
10394,Female,2006-03-01,0,
10395,Male,2007-05-01,0,
10396,Female,2006-09-01,1,
10397,Male,2007-03-01,,11
10398,Male,2007-06-01,,11
10399,Male,2007-07-01,,11
10400,Female,2007-01-01,,11
10401,Female,2006-10-01,,11
10402,Female,2007-02-01,,11
10403,Male,2007-03-01,,11
10404,Female,2007-06-01,,11
10405,Female,2007-04-01,,11
10406,Male,2007-05-01,,11
10407,Female,2007-01-01,,11
10408,Female,2007-08-01,1,11
10409,Male,2007-02-01,,11
10410,Female,2007-06-01,,11
10411,Female,2007-01-01,,11
10412,Female,2007-07-01,,11
10413,Female,2007-03-01,,11
10414,Male,2006-12-01,,11
10415,Female,2007-03-01,,11
10416,Male,2007-07-01,0,11
10417,Male,2006-10-01,0,9
10418,Unspecified,,,11
10419,Male,2007-01-01,1,11
10420,Male,2006-11-01,,11
10421,Female,2007-01-01,,11
10422,Male,2007-04-01,0,11
10423,Male,2006-11-01,,11
10424,Male,2007-03-01,,11
10425,Male,2007-02-01,,11
10426,Female,2007-03-01,,11
10427,Female,2006-10-01,,11
10428,Female,2007-01-01,,11
10429,Female,2007-04-01,,11
10430,Female,2007-01-01,,11
10431,Male,2007-06-01,,11
10432,Female,2006-12-01,,11
10433,Female,2007-08-01,,12
10434,Male,2007-04-01,,11
10435,Male,2007-03-01,,11
9990,Male,2007-02-01,,11
9992,Female,2007-04-01,,11
10436,Male,2007-08-01,0,11
10437,Female,2007-03-01,,11
10438,Male,2007-04-01,0,11
10439,Female,2010-11-01,,
10440,Male,2010-11-01,,
10441,Male,2013-12-01,,4
10442,Female,2013-01-01,,5
10443,Female,2013-04-01,,5
8218,Male,2012-04-01,,6
10444,Male,2012-11-01,,5
7666,Male,2012-05-01,,6
8242,Female,2012-01-01,,6
10445,Male,2013-02-01,,5
7230,Female,2012-06-01,,6
10446,Female,2006-12-01,,10
10447,Male,2006-12-01,,10
10448,Unspecified,,,11
10449,Female,2007-07-01,,11
6042,Male,2007-04-01,,11
6057,Male,2006-09-01,,11
10450,Male,2006-09-01,,7
5110,Female,2013-01-01,,2
10451,Female,2007-01-01,,
10452,Female,2008-06-01,0,6
10453,Female,2013-06-01,,5
10454,Female,2011-12-01,1,6
10455,Male,2012-05-01,0,6
10456,Female,2012-07-01,0,6
10457,Female,2013-08-01,,5
10458,Male,2012-09-01,,5
10459,Female,2012-10-01,,5
10460,Male,2009-07-01,0,8
10461,Male,2010-03-01,0,7
10462,Male,2008-01-01,,9
10463,Female,2007-10-01,,10
10464,Female,2004-10-01,0,13
10465,Unspecified,,,6
10466,Unspecified,,,
10467,Unspecified,,,
6866,Female,2007-06-01,,6
6867,Male,2007-04-01,,6
6822,Unspecified,2006-08-01,,6
8622,Unspecified,,,5
10468,Female,2008-07-01,,
10469,Female,2008-05-01,0,
10470,Male,2007-09-01,0,8
10471,Male,2008-02-01,,8
10472,Male,2007-11-01,0,8
10473,Male,2008-01-01,,10
10474,Male,2008-02-01,,10
10475,Female,2007-11-01,,10
10476,Male,2007-09-01,,10
10477,Female,2008-05-01,,10
10478,Male,2008-03-01,,10
10479,Male,2008-02-01,,10
10480,Male,2008-03-01,,10
10481,Female,2008-05-01,,10
10482,Female,2008-08-01,,10
10483,Female,2007-10-01,,10
10484,Male,2008-03-01,0,10
10485,Female,2008-01-01,,10
10486,Female,2008-08-01,,10
10487,Female,2008-06-01,,10
10488,Female,2008-03-01,,10
10489,Male,2008-05-01,,10
10490,Male,2007-10-01,,10
10491,Male,2007-09-01,,10
10492,Female,2008-06-01,1,10
10493,Female,2008-01-01,,10
10494,Male,2007-10-01,,10
10495,Female,2007-09-01,,10
10496,Male,2008-02-01,,10
6606,Male,2008-07-01,,10
10497,Male,2008-07-01,,10
10498,Female,2007-10-01,,10
6749,Male,2008-04-01,,10
10499,Male,2008-08-01,,10
10500,Female,2007-11-01,,10
7206,Male,2007-11-01,,10
6778,Male,2008-06-01,,10
5117,Male,,,9
10501,Male,2004-11-01,,9
10502,Male,2005-07-01,0,13
10503,Female,2005-07-01,0,
10504,Male,2006-02-01,0,
10505,Female,2006-01-01,0,
10506,Male,2006-09-01,,
7705,Male,2008-01-01,,10
10507,Male,2001-12-01,0,11
2214,Female,2005-09-01,,12
2229,Female,2005-11-01,,12
2201,Female,2006-08-01,,12
2239,Male,2006-06-01,,12
2244,Female,2005-11-01,,12
10508,Male,2010-05-01,0,6
8631,Female,2006-09-01,,11
9998,Male,2006-09-01,,11
9999,Female,2006-12-01,,11
10005,Male,2007-04-01,,11
10509,Unspecified,2006-12-01,,11
10510,Female,2005-12-01,0,
10511,Female,2007-04-01,0,
10512,Female,2007-04-01,1,
10513,Male,2006-09-01,0,
10514,Female,2006-12-01,,11
10515,Female,2006-12-01,,11
10516,Female,2006-09-01,,11
10517,Male,2007-03-01,0,11
10518,Female,2007-01-01,,11
10519,Male,2007-06-01,,11
10520,Female,2006-12-01,,11
10521,Female,2007-07-01,,11
10522,Male,2007-07-01,,11
10523,Female,2007-07-01,,11
10524,Female,2007-03-01,,11
10525,Male,2007-01-01,,11
10526,Female,2006-12-01,0,11
10527,Female,2006-12-01,,11
10528,Female,2007-08-01,,11
10529,Male,2007-05-01,,11
10530,Male,2007-02-01,,11
10531,Female,2007-08-01,,11
10532,Female,2006-12-01,,11
10533,Male,2007-07-01,,11
10534,Male,2007-02-01,,11
10535,Female,2007-07-01,,11
10536,Male,2006-09-01,0,11
10537,Female,2007-06-01,,11
10538,Female,2007-06-01,,11
10539,Female,2007-06-01,1,
10540,Female,2007-06-01,,12
10541,Female,2007-08-01,,11
10542,Female,2006-12-01,,11
10543,Male,2007-03-01,,11
10544,Female,2006-09-01,,11
10545,Male,2007-07-01,,11
10546,Female,2006-11-01,,11
10547,Male,2007-02-01,,11
10548,Male,2006-11-01,,11
10549,Female,2006-10-01,,11
10550,Female,2007-08-01,,11
10551,Female,2006-11-01,,11
10552,Male,2007-05-01,0,11
10553,Female,2007-07-01,,11
10554,Female,2007-07-01,,11
10555,Female,2007-04-01,,11
10556,Female,2006-12-01,1,11
10003,Female,2007-04-01,,11
10557,Male,2006-10-01,,11
10034,Unspecified,,,11
10558,Female,2012-04-01,,
10559,Male,2012-07-01,,
10560,Male,2010-05-01,0,
10561,Male,2013-02-01,,
10562,Male,2010-12-01,,
10563,Male,2011-04-01,,
10564,Female,2012-12-01,,
10565,Female,2011-08-01,,6
10566,Female,2010-04-01,0,
10567,Male,2012-11-01,,5
10568,Male,2012-09-01,,5
10569,Male,2011-02-01,0,8
8240,Female,2012-05-01,,6
8217,Male,2012-07-01,,6
8233,Female,2012-02-01,,6
10570,Male,2013-04-01,,5
8234,Female,2011-10-01,,6
7706,Male,,,10
6614,Female,2007-02-01,,11
10571,Female,2007-08-01,,11
10572,Male,2006-10-01,,11
10573,Female,2012-11-01,,5
10574,Male,2012-07-01,0,6
10575,Female,2013-07-01,,5
10576,Female,2012-10-01,,5
10577,Female,2013-04-01,,5
10578,Male,2013-08-01,,5
10579,Female,2004-11-01,0,11
10580,Female,2010-03-01,0,
10581,Female,2010-04-01,0,
10582,Female,2009-06-01,1,8
10583,Female,2007-10-01,0,13
10584,Female,2006-08-01,0,11
10585,Female,2008-08-01,0,9
10586,Female,2009-08-01,0,8
10587,Unspecified,,,
10588,Male,2008-04-01,,9
10589,Female,2007-09-01,,9
10590,Female,2007-12-01,,10
10591,Unspecified,,,5
10592,Unspecified,,,6
6837,Unspecified,2008-04-01,,5
8824,Unspecified,2013-02-01,,5
10593,Female,2008-01-01,,10
10594,Female,2008-02-01,0,
8232,Female,2012-02-01,,6
10595,Female,2008-02-01,0,9
10596,Female,2008-04-01,0,
10597,Male,2008-02-01,,8
10598,Male,2007-12-01,1,
10599,Male,2008-03-01,0,
10600,Female,2008-05-01,,10
8648,Female,2008-04-01,0,10
10601,Male,2008-01-01,,10
10602,Female,2008-02-01,1,10
10603,Male,2008-02-01,,10
10604,Female,2007-12-01,1,10
10605,Female,2007-11-01,,10
10606,Male,2008-02-01,0,10
10607,Female,2008-05-01,,10
10608,Female,2007-12-01,1,10
10609,Male,2008-08-01,,10
10610,Female,2008-08-01,,10
10611,Male,2008-02-01,,10
6715,Male,2008-08-01,,10
10612,Female,2007-10-01,,10
10613,Male,2007-11-01,,10
10614,Unspecified,,,
10615,Unspecified,,,7
6877,Female,2004-08-01,,14
10616,Female,2004-12-01,0,
10617,Male,2005-07-01,0,
10618,Female,2006-08-01,0,12
7327,Male,,,11
10619,Male,2001-12-01,0,11
2234,Female,2006-04-01,,12
2237,Male,2005-12-01,,12
10620,Female,2010-01-01,0,6
10621,Male,2006-04-01,1,10
10622,Male,2007-06-01,,11
10623,Female,2007-07-01,0,10
6279,Male,2013-06-01,,5
9410,Male,2007-01-01,,11
10624,Male,2006-06-01,0,
10625,Female,2006-05-01,0,12
10626,Male,2005-12-01,0,12
10627,Male,2006-11-01,1,
10628,Male,2007-05-01,,5
9526,Male,2007-09-01,,6
10629,Male,2007-01-01,,8
10630,Male,2006-10-01,,11
10631,Female,2007-02-01,,11
10632,Female,2006-09-01,,11
10633,Female,2007-03-01,,11
10634,Female,2007-08-01,,11
10635,Male,2006-10-01,,11
10636,Male,2006-12-01,,11
10637,Male,2006-09-01,,11
10638,Male,2006-12-01,,11
10639,Male,2007-03-01,,11
10640,Female,2006-11-01,,11
10641,Female,2006-11-01,,11
10642,Male,2006-09-01,,11
10643,Female,2007-01-01,,11
10644,Female,2007-06-01,,11
10645,Male,2006-11-01,,11
10646,Male,2007-03-01,,11
10647,Female,2007-07-01,,11
10648,Male,2007-06-01,,11
10649,Female,2007-04-01,,11
10650,Female,2007-04-01,,11
10651,Female,2007-02-01,,11
10652,Female,2006-11-01,0,
10653,Male,2007-02-01,,11
10654,Male,2007-07-01,0,11
10655,Female,2007-01-01,,11
10656,Male,2007-03-01,,11
10657,Female,2007-04-01,,11
10658,Male,2007-08-01,,11
10659,Female,2007-08-01,,11
10660,Female,2006-09-01,,11
10661,Female,2007-05-01,,11
10662,Female,2007-04-01,,11
10663,Female,2007-05-01,,11
10664,Female,2007-04-01,1,11
10665,Male,2007-04-01,,11
10666,Unspecified,,,11
10667,Male,2007-07-01,0,11
10668,Female,2006-11-01,,11
10669,Female,2007-04-01,,11
10670,Male,2006-10-01,,11
9994,Female,2007-01-01,,11
10671,Male,2006-12-01,,11
10672,Female,2007-04-01,1,11
10673,Male,2010-01-01,0,
10674,Female,2011-09-01,,
10675,Female,2013-08-01,,
6632,Female,2013-12-01,,4
10676,Female,2012-07-01,,
10677,Male,2013-01-01,,
7960,Male,2013-11-01,,4
8215,Female,2012-08-01,,6
8219,Male,2012-01-01,,6
8235,Female,2012-06-01,,6
10678,Female,2012-12-01,,5
10679,Female,2006-02-01,,11
10680,Female,2006-10-01,,11
6430,Unspecified,2011-11-01,,6
6449,Unspecified,2009-09-01,,8
10681,Female,2013-01-01,,5
10682,Male,2012-12-01,,5
10683,Male,2012-12-01,,5
10684,Male,2014-05-01,,4
10685,Female,2012-08-01,0,6
10686,Male,2015-08-01,,3
10687,Male,2013-04-01,,5
10688,Male,2007-03-01,0,11
10689,Male,2010-08-01,0,
10690,Male,2008-03-01,0,13
10691,Male,2010-01-01,0,7
10692,Male,2007-11-01,,9
10693,Unspecified,,,2
10694,Male,2006-11-01,1,
6889,Female,2006-10-01,,6
9477,Unspecified,2013-07-01,,5
7501,Male,2006-10-01,,11
7502,Unspecified,2007-04-01,,11
10695,Male,2007-01-01,,11
10696,Female,2008-01-01,0,9
10697,Male,2007-09-01,0,10
10698,Male,2008-03-01,0,
10699,Female,2008-01-01,0,
10700,Female,2008-01-01,0,
10701,Male,2008-07-01,0,
10702,Male,2008-07-01,1,
10703,Female,2007-10-01,,10
10704,Female,2008-04-01,0,10
10705,Female,2008-04-01,,10
10706,Female,2008-07-01,1,10
10707,Male,2008-03-01,,10
10708,Female,2007-11-01,,10
10709,Female,2008-03-01,,10
10710,Female,2007-12-01,0,10
10711,Male,2007-10-01,,10
10712,Male,2007-09-01,,10
10713,Male,2008-08-01,,10
10714,Male,2008-01-01,,10
10715,Male,2008-04-01,,10
10716,Male,2008-02-01,,10
10717,Female,2007-09-01,,10
10718,Female,2007-10-01,,10
10719,Male,2008-07-01,,11
10720,Female,2007-09-01,,10
10721,Female,2008-04-01,,10
10722,Female,2008-06-01,1,10
7111,Male,2008-04-01,,10
10723,Male,2007-11-01,,10
10724,Male,2008-02-01,,10
6634,Female,2008-07-01,,10
10725,Male,2008-04-01,,10
10726,Female,2008-01-01,,10
10727,Female,2008-04-01,,10
10728,Unspecified,,,7
10729,Male,1990-11-01,,
10730,Female,,,
10731,Male,2003-12-01,,5
10732,Female,2005-02-01,0,
10733,Male,2005-12-01,0,
10734,Male,2006-05-01,1,
10735,Female,2005-10-01,,12
10736,Female,2005-12-01,0,
10737,Female,2010-07-01,,6
10738,Male,2009-10-01,1,3
2230,Female,2005-11-01,,12
10739,Female,2004-06-01,,12
10740,Unspecified,2007-02-01,,11
9399,Female,2006-10-01,,11
10741,Female,2007-08-01,0,
10742,Male,2007-05-01,0,
10743,Female,2007-08-01,,11
10744,Female,2006-11-01,,11
10745,Male,2007-07-01,,11
10746,Male,2007-05-01,,11
10747,Male,2006-12-01,,11
10748,Male,2007-07-01,,11
10749,Male,2007-02-01,,11
10750,Female,2006-09-01,,11
10751,Male,2007-05-01,,11
10752,Female,2007-08-01,,11
10753,Male,2007-01-01,,11
10754,Female,2007-06-01,,11
10755,Female,2007-03-01,,11
10756,Male,2007-08-01,,11
10757,Male,2007-02-01,,12
10758,Female,2007-04-01,,12
10759,Female,2007-04-01,,11
10760,Female,2007-06-01,,11
10761,Male,2007-04-01,,11
10762,Female,2007-02-01,,11
10763,Female,2007-07-01,,11
10764,Female,2006-11-01,,11
10765,Female,2007-02-01,,11
10766,Female,2007-05-01,,11
10767,Male,2007-07-01,,11
10768,Male,2007-03-01,,11
10769,Female,2007-03-01,,11
10770,Male,2007-04-01,,11
10771,Male,2007-03-01,,11
10772,Female,2007-04-01,,11
10773,Female,2006-11-01,,11
10774,Male,2006-11-01,,11
10775,Female,2006-11-01,,11
10776,Female,2006-09-01,,11
10777,Female,2007-04-01,,11
10778,Female,2006-09-01,1,11
10779,Male,2006-10-01,0,
10780,Male,2013-01-01,,
10781,Female,2011-03-01,,
10782,Male,2011-02-01,0,
10783,Male,2006-09-01,0,13
